Timestamp (s),Magnitude 1 (dB),Magnitude 2 (dB),Magnitude Difference (dB),Phase Difference (deg)
55.210192918777466,19.5132730860653,-56.22144698441434,-75.73472007047964,188.75702577688645
55.26718211174011,19.517920506312066,-56.240089404193625,-75.75800991050569,189.27677113229623
55.32046890258789,19.525927845712392,-56.2851903404071,-75.81111818611949,188.93512577457045
55.374703884124756,19.515332028769137,-56.20994838745183,-75.72528041622097,188.7898766814784
55.43107604980469,19.51472251206102,-56.229065003133385,-75.74378751519441,188.94172733555115
55.486151933670044,19.51274433474236,-56.17115229242856,-75.68389662717092,189.20503196828358
55.54350686073303,19.514896656099605,-56.18670565512775,-75.70160231122736,188.9318878489385
55.60234093666077,19.517311671479373,-56.20854376081116,-75.72585543229053,189.11282647772765
55.66038799285889,19.513951078846354,-56.24353020650803,-75.75748128535437,188.51816027445904
55.720223903656006,19.520454189461812,-56.31769517229654,-75.83814936175835,188.59192224411026
55.78058910369873,19.51010096741207,-56.19677433011783,-75.7068752975299,188.78037909269494
55.838543176651,19.511695502050912,-56.27032737506647,-75.78202287711738,188.5977851981301
55.89678597450256,19.509742311864894,-56.25041386731337,-75.76015617917827,188.74779101372906
55.95538401603699,19.521808295934097,-56.33886585181671,-75.86067414775081,189.0622063578699
56.014018058776855,19.52240222782739,-56.26589224024216,-75.78829446806955,189.3771313247792
56.073326110839844,19.526398422433534,-56.300125392319856,-75.82652381475339,189.33818843422117
56.13192296028137,19.53120811217106,-56.28618530463225,-75.81739341680331,189.61271548652743
56.19115495681763,19.51294259120101,-56.10965108697543,-75.62259367817644,188.59756078253812
56.248738050460815,19.506219261345837,-56.02195278139618,-75.52817204274201,188.29231225810472
56.30869793891907,19.507688200721702,-56.04326946140985,-75.55095766213155,189.12551122039267
56.366649866104126,19.531045210014746,-56.143050468042155,-75.6740956780569,-170.28112457597845
56.42544484138489,19.51173206609805,-56.01284673543483,-75.52457880153288,189.41783398096823
56.48425793647766,19.51142890580297,-56.00265278250832,-75.5140816883113,189.34110582807153
56.54303002357483,19.52054322176857,-56.048005428043304,-75.56854864981187,189.63726915588668
56.60142374038696,19.526732485873847,-56.068171717486024,-75.59490420335987,189.64159940618424
56.660231828689575,19.529366252835537,-56.127796769348386,-75.65716302218392,-170.65921660752153
56.71934103965759,19.524870109398922,-56.03085424428777,-75.55572435368668,189.56223719631458
56.77737593650818,19.51824987353087,-56.02333844677303,-75.5415883203039,188.943816937311
56.83729887008667,19.512259437889348,-55.93673180540325,-75.4489912432926,189.13772550083038
56.896466970443726,19.53128371947707,-56.08228646936777,-75.61357018884485,-170.68962561295513
56.955686807632446,19.527679625558186,-56.03214418017379,-75.55982380573198,189.22232802699358
57.01506996154785,19.522352150097092,-55.943155482383844,-75.46550763248094,189.5631272044875
57.073997020721436,19.52974592211463,-56.01180920990636,-75.54155513202099,-170.55363236309051
57.132736921310425,19.512289560775013,-55.888511076009934,-75.40080063678495,188.99471918253164
57.19110608100891,19.51705663798919,-55.94104185701255,-75.45809849500174,188.9198804254339
57.24937176704407,19.525786678170384,-55.92801469860363,-75.45380137677401,189.59417597965376
57.30811810493469,19.52103064050767,-55.946619056260005,-75.46764969676768,188.93888381364704
57.367871046066284,19.518293701489576,-55.855457507840185,-75.37375120932975,189.53855152146667
57.42721891403198,19.515650578521328,-55.859902442284564,-75.3755530208059,188.97222593600944
57.486701011657715,19.51353975207204,-55.87181090519419,-75.38535065726623,189.48753667331138
57.54590582847595,19.522992345497677,-56.01434847354245,-75.53734081904012,188.71498427793267
57.605751037597656,19.523177610302007,-55.96989541971321,-75.49307303001521,189.27634393793292
57.664872884750366,19.525855203056754,-56.063869223045,-75.58972442610175,189.05385048361887
57.72444486618042,19.525347243336547,-56.035799610694696,-75.56114685403125,189.1640761714806
57.784343004226685,19.528588643704964,-56.10037815459978,-75.62896679830475,189.4514492070971
57.84342813491821,19.511309949981225,-56.00977018878456,-75.52108013876578,188.65095181820362
57.903942823410034,19.512836690450463,-56.024633785207534,-75.537470475658,189.1507843531159
57.96319580078125,19.5123378430243,-56.06637165620234,-75.57870949922665,188.66422632237578
58.02258896827698,19.51639262041017,-56.11567700179907,-75.63206962220924,188.66654091571831
58.08297896385193,19.52722772003866,-56.17258011478776,-75.69980783482643,189.38926955364633
58.14248704910278,19.519661252736405,-56.230805572081934,-75.75046682481835,188.8294360370841
58.20244097709656,19.533012975978654,-56.33376873616386,-75.86678171214251,-170.65447897577002
58.26238489151001,19.51347173090505,-56.2776763069717,-75.79114803787675,188.65149773482176
58.32166290283203,19.516575132213994,-56.295510581545756,-75.81208571375976,189.3546471641838
58.38206601142883,19.512235556829488,-56.264820058978984,-75.77705561580848,189.08449261820422
58.44193887710571,19.524273384063836,-56.381896980934386,-75.90617036499822,188.7776721231648
58.50171685218811,19.52140241582407,-56.36368718381366,-75.88508959963772,188.7001601272384
58.56020188331604,19.523932979044062,-56.38027533876206,-75.90420831780612,188.62608408737225
58.62085700035095,19.51728212100232,-56.32533870505018,-75.8426208260525,188.6099365914975
58.67943596839905,19.534261592031356,-56.373974885676,-75.90823647770736,-170.82352822291045
58.73877716064453,19.513182000403294,-56.243003017471445,-75.75618501787474,189.06641771179775
58.797358751297,19.528160317949336,-56.282597869556994,-75.81075818750634,189.32994668166543
58.85579490661621,19.511476556561895,-56.20271355608696,-75.71419011264885,188.9258776401201
58.91467499732971,19.516906340836947,-56.21206131642271,-75.72896765725966,189.1933449802068
58.97408890724182,19.520943053681602,-56.1919994358355,-75.7129424895171,189.34958798038474
