Timestamp (s),Magnitude (3.0e+02 Hz),Phase (3.0e+02 Hz),HsHp Real (3.0e+02 Hz),HsHp Imag (3.0e+02 Hz),Magnitude (4.5e+03 Hz),Phase (4.5e+03 Hz),HsHp Real (4.5e+03 Hz),HsHp Imag (4.5e+03 Hz),Magnitude (8.8e+03 Hz),Phase (8.8e+03 Hz),HsHp Real (8.8e+03 Hz),HsHp Imag (8.8e+03 Hz),Magnitude (1.3e+04 Hz),Phase (1.3e+04 Hz),HsHp Real (1.3e+04 Hz),HsHp Imag (1.3e+04 Hz),Magnitude (1.7e+04 Hz),Phase (1.7e+04 Hz),HsHp Real (1.7e+04 Hz),HsHp Imag (1.7e+04 Hz),Magnitude (2.2e+04 Hz),Phase (2.2e+04 Hz),HsHp Real (2.2e+04 Hz),HsHp Imag (2.2e+04 Hz),Magnitude (2.6e+04 Hz),Phase (2.6e+04 Hz),HsHp Real (2.6e+04 Hz),HsHp Imag (2.6e+04 Hz),Magnitude (3.0e+04 Hz),Phase (3.0e+04 Hz),HsHp Real (3.0e+04 Hz),HsHp Imag (3.0e+04 Hz)
160.41907382011414,-96.96818137929624,-107.79173604234086,0.0947443221727832,-0.0014903491918956532,-89.35663776677256,195.09628571952177,0.07101148798974134,0.00437896455723911,-84.56663349979151,193.04863353040923,0.11344277535567487,0.010484307630812135,-81.1424613780288,187.52036069551258,0.15693170610540869,0.0018302360024668952,-77.98373510071804,-175.03776471526564,0.2087134003884281,-0.004776060682995536,-75.20445884549147,183.15447015766455,0.2634037709533689,-0.011869951633296086,-72.55818623201044,181.99819038045825,0.3237899960034934,-0.018185275864528512,-69.91338498063826,182.72113979862235,0.39298588128101514,-0.013618201629901768
160.8698329925537,-97.13645912130987,-108.4801836546865,0.09290216968734438,-0.0025781952917947647,-90.07424378814298,194.41386436225912,0.06542389256921441,0.0032527450043891787,-84.8083828127091,192.44109110282244,0.11043083820472431,0.009026090582950369,-81.29897620719436,186.5785593511635,0.15413793502421155,-0.0007360814038642196,-78.0570058155961,-175.41843290683346,0.2069241494587395,-0.006110852051583578,-75.19411521451578,182.96453602002185,0.26367678894723606,-0.012758246182433335,-72.56462750944348,181.73664801456786,0.32346364819749934,-0.01964853352824663,-69.89167624205427,182.49380189493894,0.393912033091881,-0.01521535815723879
161.27981996536255,-96.87873637503192,-112.78554540736792,0.09523057841696869,-0.009832741245513513,-90.3057062790976,191.98078354377049,0.06378052077546965,0.00045998176612362037,-84.8362912611574,192.69911531551443,0.11003495113261448,0.009492758492197563,-81.336728753479,186.41084743070363,0.153466637543513,-0.001182109511687401,-78.04875800589156,-175.46066087231128,0.20711616620452494,-0.006269307285105461,-75.21717939925543,182.71866975228374,0.26292053649622144,-0.01385277570300146,-72.57738840853116,181.6171894894657,0.32294717163804054,-0.02029305859963634,-69.86594097048967,182.48619177425368,0.3950788485245386,-0.015312981493394105
161.70804476737976,-97.19039111873886,-111.33712081224431,0.09208465215876932,-0.007160847558817336,-90.42149951788372,190.80090236558328,0.06293189530599291,-0.0008421412547743271,-84.90644102410337,192.65628729968674,0.10915686409007806,0.009334809943527327,-81.38632292660247,186.37701967587188,0.15259215920871672,-0.0012654707018896988,-78.0870949395585,-175.8805525971485,0.20615275238739977,-0.007752681088169187,-75.2030026797578,182.7385516935721,0.2633548129791109,-0.013784019349699238,-72.56123306211263,181.5049051657699,0.32350793289661456,-0.020964866282422823,-69.83456716767316,182.22894425224672,0.3964354729843561,-0.01714848193971171
162.1368010044098,-97.06948928564566,-108.9462976194654,0.09359699700259143,-0.0033596857441419593,-90.49367765652248,189.25686528493256,0.062365944922180595,-0.002516553119975978,-84.85396701867786,192.48099198708087,0.10984652739227165,0.009055344568713429,-81.33439921315275,186.34506706721623,0.1535063438520443,-0.0013586656165255956,-78.06979847697967,-175.6458104423839,0.20659377181476773,-0.006921775531187943,-75.18749150186056,182.79803616026058,0.26383972359700775,-0.013534745706338619,-72.54090545161495,181.73559401528718,0.32434790563570826,-0.01970823566793914,-69.8353034973354,182.3359942851078,0.3964332125352093,-0.01640637122176743
162.5646469593048,-96.68741220574667,-113.39887330362824,0.09723832098676582,-0.011093242272387008,-90.21359681845706,191.6901428651683,0.06446200868567051,0.00013789641534889206,-84.78191135976138,192.39964520591732,0.11077442499036697,0.00897351255678224,-81.30914314864023,186.5143073030041,0.1539566989237882,-0.0009078693998251021,-78.03843606352807,-175.40258131497816,0.20736869664896668,-0.006066559647483054,-75.19259083333,182.87018018842093,0.2637016966911847,-0.013194772367805483,-72.5186263699375,181.74566444288595,0.3251843853076028,-0.019701696876048468,-69.82182623503336,182.4222298242595,0.3970730882874275,-0.015834233354475938
162.99292612075806,-97.21587159799986,-112.38036023322479,0.09166969858884108,-0.008810358289475172,-90.10535655876646,194.58563283599193,0.06517995449503569,0.0034365343391596207,-84.82858178307553,192.41079498791265,0.1101790767085547,0.008946867063613171,-81.28101860515316,186.48130404099086,0.1544554618816083,-0.0009997827212577942,-78.00891808796754,-175.60220220632183,0.20805214269650552,-0.006812113450685599,-75.15458669985037,182.7011228332152,0.26481776546201413,-0.014034064330386994,-72.5045372953262,181.73103605689914,0.32570723454258954,-0.019816838333705546,-69.81607059770243,182.39256462525054,0.39732803593128774,-0.016050450140110365
163.4196071624756,-96.82526518117648,-111.14225171642038,0.09606294256247237,-0.00714160384864932,-90.31980145451767,190.1464225176504,0.06365917223671518,-0.0015793143601341144,-84.8114809384926,191.96015851293464,0.11046330312800857,0.008095954591386217,-81.28767953450199,186.28713004523414,0.15433278843441728,-0.0015220540994944523,-78.04599831534371,-175.5591757161384,0.20717089266655747,-0.00662752048441255,-75.17345387461884,183.05743475669541,0.2643251379233703,-0.012360073270556217,-72.57790092789067,181.95456778997212,0.323042003129709,-0.018390002721168707,-69.85707176554521,182.52572888254923,0.3954929549298152,-0.015055718258789394
163.8466489315033,-97.31740239561518,-111.77800397678047,0.0906909338412515,-0.00775497539544243,-90.47600096665016,189.71197643885634,0.06251105385345536,-0.002025211834188183,-84.77652854577961,192.84724636128126,0.1107695681652425,0.009844711426254172,-81.29185923935168,186.31672741165863,0.15425930567927776,-0.0014416360895507612,-78.12713019280824,-175.85373349582449,0.20520832338552322,-0.007620976026973425,-75.29838899191151,182.90921152841386,0.26051798993382186,-0.012857560306470407,-72.6442841241988,181.57164670339,0.32045338978019633,-0.02039209449364658,-69.941695496524,182.84671769754658,0.3917358902964865,-0.012715332099860272
164.2713179588318,-96.52085772469708,-110.17029749183385,0.0996004223701455,-0.005707627901802473,-90.2884307402066,190.13015900502455,0.06388905244601269,-0.0016031637517745629,-84.78679861718891,193.8958689520316,0.11044018982829501,0.011856218013383964,-81.5886920394805,186.2329660953486,0.14907449082606247,-0.001611136977803438,-78.30870713633138,-176.54259768274113,0.20085875562534442,-0.009878884813526041,-75.30631687351922,182.48124607298647,0.2601771049629079,-0.014789593165694214,-72.5301229276114,181.47078352656874,0.32465612677860256,-0.021233438321584138,-69.73024157835111,182.50234741735161,0.4013039902319092,-0.015440939551088594
